method,distill,distill,distill,distill,distill,distill,distill,distill
model,m1,m1,m1,m1,m1,m1,m1,m1
metric,maxp,margin,entropy,deepgini,random,MCP,klp,varp
CIFAR10.LeNet5.15.0,39.93977165222168,39.871418952941895,40.196213722229004,39.33043670654297,36.65572118759155,40.73172187805176,40.475934982299805,39.45642566680908
CIFAR10.LeNet5.50.0,40.32893753051758,40.612281799316406,41.60039710998535,41.03182888031006,38.32239627838135,40.60128211975098,41.34474563598633,40.71263027191162
CIFAR10.LeNet5.75.0,41.73471260070801,40.452314376831055,41.20290756225586,41.662994384765625,38.06652212142944,41.44325065612793,40.84338188171387,40.56056308746338
CIFAR10.resnet18.15.0,40.21595096588135,39.21078968048096,39.745734214782715,39.959754943847656,36.64358997344971,39.87733173370361,40.09409999847412,39.81608772277832
CIFAR10.resnet18.50.0,39.231736183166504,39.27173614501953,39.47783184051514,39.85644340515137,39.285966873168945,39.83912467956543,38.99781894683838,40.77218532562256
CIFAR10.resnet18.75.0,42.01871204376221,40.36252784729004,40.62077617645264,41.228017807006836,40.863642692565925,40.69480514526367,40.79714393615723,40.221235275268555
FashionMNIST.LeNet1.15.0,27.640046691894533,28.27169876098633,26.80374221801758,27.150561141967774,25.352953720092774,26.14863815307617,26.95842933654785,26.14893684387207
FashionMNIST.LeNet1.50.0,20.96247787475586,22.0455322265625,20.29647789001465,21.75811347961426,17.526213264465333,22.155445098876953,23.702771377563476,24.126762008666994
FashionMNIST.LeNet1.75.0,21.624540710449217,21.68828773498535,20.68087501525879,21.131262969970702,17.770423316955565,22.020273208618164,19.512815856933592,22.152880859375
FashionMNIST.LeNet5.15.0,23.100201034545897,22.45277976989746,23.240385437011717,23.93365020751953,20.366707801818848,21.99262466430664,22.695022583007812,22.754150390625
FashionMNIST.LeNet5.50.0,24.088751220703124,23.836112594604494,23.904045867919923,24.206995010375977,23.25021095275879,23.616794967651366,23.880879211425782,24.02605438232422
FashionMNIST.LeNet5.75.0,25.076887130737305,24.763961410522462,24.75631217956543,24.48643341064453,22.15222053527832,23.55723419189453,23.280641555786133,24.228245544433594
MNIST.LeNet1.15.0,35.670052719116214,34.72841300964355,38.761959838867185,35.13880882263184,33.28996124267578,35.93203353881836,37.029092407226564,39.4345458984375
MNIST.LeNet1.50.0,20.483033752441408,18.578059005737305,20.814598083496094,17.517065238952636,22.348458290100098,20.25497989654541,22.405856704711915,21.415087127685545
MNIST.LeNet1.75.0,30.230256271362304,28.999484634399415,31.914730072021484,29.54303321838379,26.49416732788086,29.324847793579103,31.80701560974121,29.27452850341797
MNIST.LeNet5.15.0,29.301314544677734,29.89811134338379,28.905083847045898,31.747861099243163,27.531111907958984,32.74610710144043,26.53797721862793,32.80216407775879
MNIST.LeNet5.50.0,27.727782440185546,29.423122024536134,28.579221725463867,30.47090263366699,27.757391738891602,28.32095832824707,31.92170829772949,31.889884185791015
MNIST.LeNet5.75.0,19.90985774993897,16.948026657104492,15.548829650878906,16.820691871643067,16.388191413879394,14.660215377807617,15.017511177062989,16.94775733947754
SVHN.LeNet5.15.0,25.023207800728933,25.518130438668386,25.5083065032959,26.10461289542062,23.951960699898855,26.042373384748185,26.286870411464147,24.975530896868026
SVHN.LeNet5.50.0,25.824847630092076,26.33593804495675,23.16478511265346,24.69905662536621,22.338990892682755,26.154833112444198,25.147638048444474,23.961875370570592
SVHN.LeNet5.75.0,23.468589782714844,24.626387187412806,22.818592071533203,23.235619408743723,21.462146486554825,24.056523731776647,23.624758311680385,23.39507348196847
SVHN.resnet18.15.0,29.00891195024763,30.11942563738142,29.4602541242327,30.33906991141183,28.932306017194474,29.927901404244558,29.953610828944615,30.08309200831822
SVHN.resnet18.50.0,32.72813442775181,33.20022474016462,33.47489547729492,33.163464409964426,31.63064902169364,33.23797607421875,33.28968184334891,34.28919437953404
SVHN.resnet18.75.0,27.37836810520717,27.2990665435791,27.192950657435826,27.43059458051409,26.817474365234375,25.87560326712472,27.46743174961635,27.659267698015487
