method,distill,distill,distill,distill,distill,distill,distill,distill
model,m1,m1,m1,m1,m1,m1,m1,m1
metric,maxp,margin,entropy,deepgini,random,MCP,klp,varp
CIFAR10.LeNet5.15.0,17.233098030090332,17.563263893127445,16.913755178451538,17.08544087409973,16.15027093887329,17.221909046173096,17.034069061279297,16.79500651359558
CIFAR10.LeNet5.50.0,17.5605206489563,17.652212619781494,17.270472526550293,17.48540997505188,16.243480443954468,17.317665338516235,17.391162872314453,18.025781869888306
CIFAR10.LeNet5.75.0,17.820807933807373,17.811891078948975,18.36680841445923,18.71111822128296,16.821549654006958,17.758896827697754,17.803614139556885,17.917444229125977
CIFAR10.resnet18.15.0,28.58268928527832,28.040361404418945,28.63268232345581,28.671383380889893,26.10649538040161,27.657076835632324,27.387195110321045,27.962812423706055
CIFAR10.resnet18.50.0,27.043299674987793,27.596619606018066,27.45343542098999,28.40881061553955,26.156421184539795,27.882766246795654,27.10693597793579,27.24767541885376
CIFAR10.resnet18.75.0,27.872838973999023,28.16992712020874,28.86045265197754,28.470426082611088,26.367537021636963,27.59350347518921,27.81169843673706,27.090403079986572
FashionMNIST.LeNet1.15.0,14.709221839904785,15.208504390716552,14.102977752685547,13.95778980255127,13.343690490722656,13.860842514038087,14.724699974060059,14.584314346313477
FashionMNIST.LeNet1.50.0,13.168449974060058,13.790480804443359,12.810154342651368,14.655928993225098,10.169448852539062,14.56926612854004,14.09814224243164,13.660102272033692
FashionMNIST.LeNet1.75.0,13.373286628723145,13.27088508605957,12.611279296875,14.428984832763671,12.118211555480958,14.583061027526856,13.773231315612794,12.146619415283203
FashionMNIST.LeNet5.15.0,13.18172092437744,11.642023944854737,12.480804443359375,13.80201587677002,11.841893005371094,12.17886142730713,11.951985359191895,12.413481140136719
FashionMNIST.LeNet5.50.0,12.983915519714355,13.001419258117675,13.699008178710937,13.397217559814454,11.945027351379395,13.276179981231689,12.32987995147705,13.779021644592286
FashionMNIST.LeNet5.75.0,13.108459663391113,12.555606842041016,13.500592041015626,13.971707725524903,11.143245124816895,12.296091079711914,12.073872184753418,12.560476398468017
MNIST.LeNet1.15.0,23.59177017211914,24.57921485900879,29.968575286865235,26.03192558288574,22.169481468200683,23.937257766723633,22.388496017456056,23.928676986694335
MNIST.LeNet1.50.0,21.018252182006837,23.42856922149658,18.881706047058106,19.820385360717772,16.79070987701416,25.03057861328125,26.551634979248046,19.983507919311524
MNIST.LeNet1.75.0,24.921929168701173,23.945347785949707,28.158242416381835,26.18186225891113,24.262871170043944,24.640287590026855,27.052698135375977,25.16156749725342
MNIST.LeNet5.15.0,30.27754898071289,21.398548698425294,21.941069984436034,26.612871360778808,19.161938858032226,22.676824378967286,16.609051990509034,19.85109043121338
MNIST.LeNet5.50.0,22.984938049316405,19.896124839782715,27.829755592346192,26.812566375732423,22.253105545043944,25.638455963134767,24.687445068359374,21.778221702575685
MNIST.LeNet5.75.0,22.471498489379883,22.26619758605957,15.269426155090333,21.860858154296874,16.14463577270508,18.80639533996582,18.10092239379883,21.721848678588866
SVHN.LeNet5.15.0,16.013379505702428,15.671631813049316,14.746795109340123,15.408613749912806,14.207186017717634,14.730795315333776,15.921601295471191,15.762066977364677
SVHN.LeNet5.50.0,21.768494606018066,22.747923851013184,15.82165799822126,19.25375774928502,17.564130101885116,15.666654995509557,16.590024403163365,15.538222176688057
SVHN.LeNet5.75.0,21.339646339416504,22.41073771885463,17.325834274291992,17.47364820752825,15.775625773838588,14.7743467603411,15.73433358328683,14.743892533438546
SVHN.resnet18.15.0,28.79486574445452,28.71059009007045,28.973178591047013,29.41561153956822,26.970464978899276,28.24082429068429,29.077247619628906,29.743120465959823
SVHN.resnet18.50.0,29.39234188624791,29.502276829310826,29.60893440246582,29.26501546587263,28.727042061941965,29.967022487095424,30.564526966639928,30.69336427961077
SVHN.resnet18.75.0,28.490001678466797,29.21665927342006,29.573164258684432,29.684554236275808,27.393165588378906,28.345293045043945,28.9369694846017,29.54635947091239
