method,distill,distill,distill,distill,distill,distill,distill,distill
model,m1,m1,m1,m1,m1,m1,m1,m1
metric,maxp,margin,entropy,deepgini,random,MCP,klp,varp
CIFAR10.LeNet5.15.0,29.33848524093628,29.95173406600952,28.855926990509033,29.173722743988037,27.523223400115967,29.353429794311523,29.04456949234009,28.612053394317627
CIFAR10.LeNet5.50.0,29.73736000061035,29.892720222473145,29.629969120025635,29.85712480545044,27.783244609832764,29.58496379852295,29.53381586074829,30.491422653198242
CIFAR10.LeNet5.75.0,30.558064460754395,30.490171909332275,31.324874877929688,31.85478973388672,29.074134349822998,30.477580547332764,30.362648487091064,30.65426015853882
CIFAR10.resnet18.15.0,37.58347797393799,36.78818416595459,37.62801742553711,37.53892993927002,34.79033946990967,36.30798625946045,36.525057792663574,37.03830814361572
CIFAR10.resnet18.50.0,36.06435203552246,36.60238456726074,36.56723976135254,37.80136203765869,35.53728771209717,37.17628288269043,36.57608604431152,36.41663074493408
CIFAR10.resnet18.75.0,37.214290618896484,37.48401069641113,38.43299674987793,37.92031383514404,35.9505672454834,36.79503154754639,37.46193218231201,36.194644927978516
FashionMNIST.LeNet1.15.0,16.875633430480956,17.481980323791504,16.199415588378905,16.038976097106932,15.3593355178833,15.898372459411622,16.881443977355957,16.740950965881346
FashionMNIST.LeNet1.50.0,15.024402618408203,15.735232734680176,14.583431625366211,16.73228340148926,11.606356811523437,16.623620796203614,16.130315589904786,15.63306121826172
FashionMNIST.LeNet1.75.0,15.382050514221191,15.233680152893067,14.47387924194336,16.568311500549317,13.986325645446778,16.819973945617676,15.749345207214356,14.095163345336914
FashionMNIST.LeNet5.15.0,14.705631256103516,12.985369110107422,13.900508499145507,15.366626739501953,13.252707290649415,13.577291870117188,13.334450149536133,13.827094459533692
FashionMNIST.LeNet5.50.0,14.46042537689209,14.489688491821289,15.254108428955078,14.926691436767578,13.426067924499511,14.802220153808594,13.753698348999023,15.347247505187989
FashionMNIST.LeNet5.75.0,14.592488861083984,13.976637077331542,15.014764785766602,15.541257286071778,12.462593078613281,13.705864715576173,13.449180030822754,13.974419498443604
MNIST.LeNet1.15.0,23.95009841918945,24.950342178344727,30.435891342163085,26.414099502563477,22.520808029174805,24.292750549316406,22.72447967529297,24.279669952392577
MNIST.LeNet1.50.0,21.228457641601562,23.662763786315917,19.084937286376952,20.025778198242186,16.97513427734375,25.266807556152344,26.808378601074217,20.189002227783202
MNIST.LeNet1.75.0,25.227101135253907,24.232132720947266,28.477113342285158,26.485690689086915,24.579802322387696,24.92435245513916,27.378520965576172,25.481981468200683
MNIST.LeNet5.15.0,30.53637809753418,21.60074691772461,22.1301570892334,26.855449295043947,19.351862525939943,22.880814170837404,16.769575595855713,20.04704532623291
MNIST.LeNet5.50.0,23.180513381958008,20.065847396850586,28.080842590332033,27.045512771606447,22.47052116394043,25.85229949951172,24.910012817382814,21.980650901794437
MNIST.LeNet5.75.0,22.676634216308596,22.453852462768555,15.406978034973145,22.0368745803833,16.3105260848999,18.96884422302246,18.26414623260498,21.911304473876953
SVHN.LeNet5.15.0,18.037712505885533,17.710243497576034,16.67591721670968,17.415302685328893,16.185043607439315,16.663340296064103,17.939007895333425,17.762196677071707
SVHN.LeNet5.50.0,24.427375520978654,25.468261991228378,17.71491527557373,21.567670822143555,19.77374689919608,17.58872672489711,18.60227734701974,17.426899773733957
SVHN.LeNet5.75.0,23.87436294555664,25.046151569911412,19.38255432673863,19.533811160496303,17.83998761858259,16.633943012782506,17.708768572126115,16.627429825919016
SVHN.resnet18.15.0,30.854693276541575,30.785835811070033,31.017462049211776,31.54604366847447,29.09052303859166,30.27657563345773,31.259986332484655,31.886448451450892
SVHN.resnet18.50.0,31.323468617030553,31.427805491856166,31.585603169032506,31.211743218558176,30.8040588923863,31.990122658865793,32.7504392351423,32.79106167384556
SVHN.resnet18.75.0,30.54407283238002,31.295529501778738,31.694960730416433,31.80571719578334,29.598948342459543,30.35750252859933,31.126847948346818,31.68845203944615
