method,distill,distill,distill,distill,distill,distill,distill,distill
model,m1,m1,m1,m1,m1,m1,m1,m1
metric,maxp,margin,entropy,deepgini,random,MCP,klp,varp
CIFAR10.LeNet5.15.0,6.620000023394823,6.7649999633431435,6.5174998715519905,6.587499845772982,6.209999974817038,6.610000133514404,6.527500040829182,6.4124999567866325
CIFAR10.LeNet5.50.0,6.554999947547913,6.652499921619892,6.637500040233135,6.630000006407499,6.235000025480986,6.5824998542666435,6.532499846071005,6.7125000059604645
CIFAR10.LeNet5.75.0,6.792499963194132,6.77750026807189,6.914999987930059,7.012499962002039,6.5374999307096004,6.752500031143427,6.6850000992417336,6.834999937564135
CIFAR10.resnet18.15.0,5.439999978989363,5.294999945908785,5.452499911189079,5.372499953955412,5.242499988526106,5.23250000551343,5.527500156313181,5.447500012814999
CIFAR10.resnet18.50.0,5.302500072866678,5.324999988079071,5.334999971091747,5.549999978393316,5.489999987185001,5.470000114291906,5.5800000205636024,5.3775000385940075
CIFAR10.resnet18.75.0,5.347499996423721,5.384999979287386,5.522500071674585,5.452500004321337,5.487500037997961,5.294999852776527,5.619999952614307,5.23499995470047
FashionMNIST.LeNet1.15.0,1.727999970316887,1.8160000443458557,1.6819999925792217,1.6699999570846558,1.647999994456768,1.6279999911785126,1.7179999686777592,1.7320000194013119
FashionMNIST.LeNet1.50.0,1.5760000050067902,1.6460000164806843,1.5099999867379665,1.7640000022947788,1.2239999696612358,1.7359999939799309,1.7300000041723251,1.6699999943375587
FashionMNIST.LeNet1.75.0,1.644000019878149,1.5980000235140324,1.5259999968111515,1.7579999938607216,1.5439999848604202,1.8339999951422215,1.6099999845027924,1.6139999963343143
FashionMNIST.LeNet5.15.0,1.2239999882876873,1.0700000077486038,1.1380000039935112,1.2659999914467335,1.1639999970793724,1.1440000124275684,1.1160000134259462,1.14400003105402
FashionMNIST.LeNet5.50.0,1.1739999800920486,1.1899999808520079,1.246000025421381,1.214000005275011,1.2100000120699406,1.2360000144690273,1.129999989643693,1.2520000152289867
FashionMNIST.LeNet5.75.0,1.1659999750554562,1.1160000134259462,1.195999989286065,1.2480000033974648,1.076000016182661,1.1280000023543835,1.080000028014183,1.1120000015944242
MNIST.LeNet1.15.0,0.31599999871104956,0.3280000062659383,0.43800000101327896,0.3420000011101365,0.3219999955035746,0.31599999871104956,0.2900000009685755,0.3079999936744571
MNIST.LeNet1.50.0,0.18199999816715712,0.2040000027045607,0.1680000033229589,0.1700000022538006,0.16199999954551453,0.21600000094622374,0.23000000044703478,0.17999999690800905
MNIST.LeNet1.75.0,0.2400000020861625,0.22799999685958028,0.2619999973103404,0.26000000070780516,0.2800000039860606,0.23400000063702459,0.25399999925866723,0.2519999956712127
MNIST.LeNet5.15.0,0.20200000377371907,0.14799999771639702,0.14399999985471365,0.17999999923631546,0.15600000042468304,0.15600000042468307,0.11599999794270839,0.13800000073388216
MNIST.LeNet5.50.0,0.15200000023469323,0.13400000054389233,0.19600000698119402,0.18800000194460148,0.1780000003054738,0.1620000042021274,0.1679999963380396,0.15200000489130616
MNIST.LeNet5.75.0,0.14999999897554514,0.14600000111386174,0.09800000116229055,0.1459999964572489,0.13599999947473404,0.12000000104308124,0.12199999997392294,0.15400000149384138
SVHN.LeNet5.15.0,1.5535823867789336,1.5585213766566344,1.4690710098615714,1.528887530522687,1.5651066920586996,1.4718148857355118,1.5491921853806292,1.535472832620144
SVHN.LeNet5.50.0,2.2214417611914024,2.303209195711783,1.4866318154547895,1.8680305752371038,1.7972385643848352,1.481692838881697,1.57114320567676,1.4657783987266677
SVHN.LeNet5.75.0,2.0842479408851693,2.190161562923874,1.641935229833637,1.6655325490449155,1.6726666130125523,1.4251690091831344,1.5448019839823246,1.453156556401934
SVHN.resnet18.15.0,1.494863469685827,1.5074852854013443,1.479497764791761,1.5431556850671768,1.5821187091725213,1.4816928787955217,1.621081746582474,1.5815699473023415
SVHN.resnet18.50.0,1.4235227102679866,1.4043155791504043,1.4339494252843517,1.4180349452154977,1.5826674843473094,1.484436754669462,1.6490692938012737,1.5404118091932364
SVHN.resnet18.75.0,1.5223022284252303,1.5464483095066888,1.5733383329851287,1.5936429878430707,1.6973615091826235,1.5003512214337076,1.686934714338609,1.6166915451841695
